代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
605168,三人行,39.9,3.42,5.32,1.0293888018340906,84.11597741,37.538,35.251000000000005,34.384,31.058833333333332,0.9627906976744194,110,涨幅3.42%✓; 价格位置高96.3%✓; 高开后走强✓
300467,迅游科技,29.92,4.25,6.11,1.7038661414716494,60.79890518,28.206,28.064999999999998,27.728500000000004,25.892999999999997,0.522613065326634,90,涨幅4.25%✓; 高开后走强✓
002582,好想你,11.4,3.17,9.27,1.9175212771581116,51.03869957,10.92,10.895,10.553999999999998,10.157833333333334,0.49295774647887336,90,涨幅3.17%✓; 高开后走强✓
300213,佳讯飞鸿,9.7,1.89,7.65,1.4034043316979778,57.65337202,9.494,9.407,9.265,9.064,0.5833333333333315,80,涨幅1.89%✓; 高开后走强✓
