代码,名称,选股日期,综合评分,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,MACD,RSI,KDJ_J,量比,5日涨幅,20日涨幅,昨日涨跌,均线分,MACD分,RSI分,KDJ分,布林分,量能分,趋势分
002885,京泉华,2026-01-09,84.54545454545455,27.83,2.13,17.42,75.39619219,26.71,4.230625233994754,0.20126360093871654,63.88606307222788,72.80415344435832,1.5386684738436318,8.129999999999999,7.5200000000000005,1.68,22,20,15,15,5,10,6
000829,天音控股,2026-01-09,83.63636363636363,11.31,2.82,4.58,115.93885954,10.986,2.9492080830147445,0.09815230324184121,58.00865800865803,92.49856796546212,1.3826361916437298,3.73,5.16,3.0,26,20,15,13,2,10,6
300298,三诺生物,2026-01-09,81.81818181818183,18.64,4.48,4.73,104.43382584,17.880000000000003,4.306487695749418,0.07641885435789675,61.98347107438012,94.18889426521548,1.7906173600789566,8.82,10.54,2.12,24,20,15,11,2,10,8
920418,苏轴股份,2026-01-09,81.81818181818183,31.76,3.25,6.0,51.60669696,30.612000000000002,3.7828302626420935,0.6764364953529416,69.10344827586206,62.24253890822851,1.620421964877792,5.77,19.21,1.85,25,20,10,15,2,10,8
300098,高新兴,2026-01-09,81.81818181818183,6.55,2.99,9.47,113.82473901,6.3759999999999994,2.72898368883313,0.17300726683702816,68.85245901639341,69.33824562553761,1.2058373458215157,7.37,12.519999999999998,0.95,28,16,10,15,2,10,9
300235,方直科技,2026-01-09,81.81818181818183,17.42,2.11,8.68,43.85426382,16.645999999999997,4.649765709479783,0.18567898628727875,62.82051282051287,95.08828380222143,1.135058774241261,6.729999999999999,5.11,2.9,24,20,15,13,2,10,6
000565,渝三峡Ａ,2026-01-09,80.9090909090909,7.59,2.02,4.61,32.9096495,7.424000000000001,2.10129310344826,-0.078541492360503,54.193548387096776,49.10453975190191,1.7916210830138748,3.8,1.0600000000000005,1.5,26,14,15,8,10,10,6
