代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
603861,白云电器,13.37,2.77,6.78,2.093612620504248,72.26858758,13.102,12.79,12.3475,12.3185,0.7227722772277216,120,涨幅2.77%✓; 价格位置高72.3%✓; 高开后走强✓
603158,腾龙股份,11.08,3.55,9.13,2.6022488470772474,54.3773324,10.65,10.637,10.463,10.340166666666669,0.7349397590361438,120,涨幅3.55%✓; 价格位置高73.5%✓; 高开后走强✓
002708,光洋股份,14.17,3.2,9.9,2.6249683109259805,79.64928192,13.535999999999998,13.425999999999998,12.9815,12.952,0.5403726708074531,90,涨幅3.20%✓; 高开后走强✓
300559,佳发教育,14.59,2.03,9.24,2.158520447814489,58.28917533,13.762,13.249,12.5395,12.315999999999999,0.43181818181818193,90,涨幅2.03%✓; 高开后走强✓
601619,嘉泽新能,5.02,3.93,6.4,1.7655662409891788,146.21988665,4.846,4.7379999999999995,4.639,4.460666666666667,0.5675675675675673,90,涨幅3.93%✓; 高开后走强✓
301608,博实结,98.95,4.81,9.13,1.8769327182880096,88.055605,93.89200000000001,91.565,88.427,87.252,0.6974921630094053,90,涨幅4.81%✓; 高开后走强✓
002707,众信旅游,7.48,2.47,7.93,2.5863137753792627,73.50708447,7.276000000000001,7.2219999999999995,7.148000000000001,7.075333333333334,0.07500000000000072,90,涨幅2.47%✓; 高开后走强✓
002698,博实股份,18.02,4.16,7.15,2.413826320098897,184.26558392,16.986,16.813,16.6615,16.124166666666664,0.5273631840796019,90,涨幅4.16%✓; 高开后走强✓
300005,探路者,12.93,1.41,5.93,1.6605919816672103,114.26269265,11.988000000000001,11.48,11.0155,10.349666666666666,0.6438356164383559,90,涨幅1.41%✓; 高开后走强✓
301127,武汉天源,17.69,2.61,5.11,1.0321281081761493,119.24215776,17.509999999999998,16.511999999999997,15.882499999999999,14.747499999999999,0.6377952755905532,80,涨幅2.61%✓; 高开后走强✓
001337,四川黄金,30.69,2.33,7.3,1.4327603488772196,128.898,29.556,29.057,28.9435,27.940499999999997,0.6600000000000014,80,涨幅2.33%✓; 高开后走强✓
002090,金智科技,12.97,1.73,8.93,1.3419375954779815,51.95484611,12.626000000000001,12.28,12.0405,11.799166666666668,0.3888888888888901,80,涨幅1.73%✓; 高开后走强✓
