代码,名称,选股日期,综合评分,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,MACD,RSI,KDJ_J,量比,5日涨幅,20日涨幅,昨日涨跌,均线分,MACD分,RSI分,KDJ分,布林分,量能分,趋势分
300083,创世纪,2026-01-09,90.0,9.7,2.21,4.73,161.49167113,9.4,3.1914893617021165,0.06530352474374013,64.59016393442624,73.57886238042076,1.2555911544354055,5.24,6.319999999999999,2.59,23,20,15,15,10,10,6
600733,北汽蓝谷,2026-01-09,87.27272727272727,8.53,2.16,3.93,475.41982032,8.309999999999999,2.647412755716013,0.13553316203726773,67.05202312138726,91.86689072116181,1.132175978982345,6.11,13.200000000000001,0.24,28,20,10,13,5,10,10
301370,国科恒泰,2026-01-09,85.45454545454545,12.56,2.36,3.51,59.10736,12.27,2.200488997555009,0.19869679954917174,55.99999999999998,96.2168687390342,1.0774905383209787,7.21,6.190000000000001,0.25,28,20,15,11,2,10,8
