代码,名称,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,最低偏离MA5,MA5斜率,5日涨幅,20日涨幅,昨日涨跌
301248,杰创智能,36.38,6.91,11.13,55.917879,33.642,8.1980857261756,0.023779799060684757,3.0445969125214396,15.079999999999998,20.41,0.18
300518,新迅达,20.06,5.03,9.52,40.00196215,18.784000000000002,6.9527257240204285,1.5758091993185466,2.1758050478677227,11.24,17.450000000000003,-1.8
301002,崧盛股份,39.49,4.89,12.17,48.99070402,37.116,6.342278262743828,0.6843409850199316,3.0370329243240275,15.56,27.339999999999996,-2.21
600577,精达股份,13.79,4.0,7.38,296.38378954,12.931999999999999,6.712032168264787,1.53108567893599,2.634920634920627,13.14,31.61,0.61
