代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
002707,众信旅游,7.5,2.74,8.14,2.6561844814066378,73.70362748,7.274000000000001,7.221000000000001,7.147499999999999,7.075166666666667,0.12499999999999972,90,涨幅2.74%✓; 高开后走强✓
601619,嘉泽新能,5.0,3.52,6.56,1.805923015619623,145.6373373,4.843999999999999,4.737,4.6385,4.4605,0.5135135135135144,90,涨幅3.52%✓; 高开后走强✓
603158,腾龙股份,10.97,2.52,9.57,2.708686215016495,53.83748524,10.638000000000002,10.631,10.459999999999999,10.339166666666667,0.6024096385542168,90,涨幅2.52%✓; 高开后走强✓
301608,博实结,98.88,4.73,9.33,1.9163319190030512,87.993312,93.812,91.525,88.40700000000001,87.24533333333333,0.6865203761755484,90,涨幅4.73%✓; 高开后走强✓
603861,白云电器,13.28,2.08,7.06,2.181907756593925,71.78211242,13.081999999999999,12.78,12.3425,12.316833333333333,0.6336633663366326,90,涨幅2.08%✓; 高开后走强✓
002698,博实股份,17.98,3.93,7.4,2.499662850996195,183.85655932,16.974,16.807,16.6585,16.123166666666666,0.5074626865671644,90,涨幅3.93%✓; 高开后走强✓
001337,四川黄金,30.62,2.1,7.52,1.474833157208275,128.604,29.544,29.051,28.940500000000004,27.9395,0.6133333333333345,80,涨幅2.10%✓; 高开后走强✓
301127,武汉天源,17.53,1.68,5.29,1.0648256855416554,118.16365323,17.478,16.496,15.874500000000001,14.744833333333332,0.5118110236220491,80,涨幅1.68%✓; 高开后走强✓
