代码,名称,选股日期,综合评分,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,MACD,RSI,KDJ_J,量比,5日涨幅,20日涨幅,昨日涨跌,均线分,MACD分,RSI分,KDJ分,布林分,量能分,趋势分
300083,创世纪,2026-01-09,87.27272727272727,9.7,2.21,4.21,161.49167113,9.4,3.1914893617021165,0.06530352474374013,64.59016393442624,73.57886238042076,1.1451473749460779,5.24,6.319999999999999,2.59,23,20,15,15,10,7,6
600733,北汽蓝谷,2026-01-09,87.27272727272727,8.52,2.04,3.69,474.86247,8.308,2.5517573423206517,0.13473544123954717,66.86046511627904,91.0394675533131,1.0750152238167525,5.99,13.080000000000002,0.24,28,20,10,13,5,10,10
301370,国科恒泰,2026-01-09,85.45454545454545,12.54,2.2,3.28,59.01324,12.27,2.200488997555009,0.19869679954917174,55.99999999999998,96.2168687390342,1.0202137124161748,7.21,6.190000000000001,0.25,28,20,15,11,2,10,8
