代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
001212,中旗新材,53.29,3.36,6.01,1.8082813170387388,107.09138363,51.464,51.30499999999999,48.06849999999999,47.42333333333333,0.9196787148594366,120,涨幅3.36%✓; 价格位置高92.0%✓; 高开后走强✓
002194,武汉凡谷,13.46,1.51,6.5,1.6776399536081015,91.97026949,13.172,13.021,12.7835,12.696166666666667,0.760869565217393,120,涨幅1.51%✓; 价格位置高76.1%✓; 高开后走强✓
300402,宝色股份,22.63,1.48,6.78,1.8627280723516544,55.84868947,21.964,21.807,21.475,21.333000000000002,0.8048780487804877,120,涨幅1.48%✓; 价格位置高80.5%✓; 高开后走强✓
301160,翔楼新材,79.3,3.05,9.72,1.233092552845073,88.91141376,73.942,69.375,66.825,62.62,0.7484909456740442,110,涨幅3.05%✓; 价格位置高74.8%✓; 高开后走强✓
301018,申菱环境,69.15,3.01,9.87,1.3547702907324717,183.97534801,66.348,66.19500000000001,61.361000000000004,58.274166666666666,0.8197767145135573,110,涨幅3.01%✓; 价格位置高82.0%✓; 高开后走强✓
300133,华策影视,8.56,2.51,9.82,1.3040465129463759,161.63599597,8.315999999999999,8.23,8.0685,7.806500000000001,0.742857142857143,110,涨幅2.51%✓; 价格位置高74.3%✓; 高开后走强✓
603173,福斯达,43.46,1.64,5.64,1.246784680790254,69.536,43.041999999999994,42.568,41.65,41.5385,0.8230088495575252,110,涨幅1.64%✓; 价格位置高82.3%✓; 高开后走强✓
002258,利尔化学,14.11,3.98,5.8,2.934762368624729,112.94169287,13.39,13.241,13.1405,12.912,0.38541666666666624,90,涨幅3.98%✓; 高开后走强✓
600366,宁波韵升,14.45,2.99,8.03,3.2685600084772073,158.81143187,14.023999999999997,13.991,13.893,13.779833333333334,0.5614035087719287,90,涨幅2.99%✓; 高开后走强✓
301305,朗坤科技,23.37,1.74,5.47,1.5897012150462921,56.37503127,22.814,22.432,22.079,21.932000000000002,0.620000000000001,90,涨幅1.74%✓; 高开后走强✓
300201,海伦哲,6.97,3.11,7.84,1.0784778622313467,70.33033941,6.781999999999999,6.547,6.025499999999999,5.812833333333333,0.5624999999999997,80,涨幅3.11%✓; 高开后走强✓
301201,诚达药业,46.41,2.86,8.64,1.376770737895553,71.80268572,43.79,42.803,41.9095,40.22066666666667,0.5350877192982448,80,涨幅2.86%✓; 高开后走强✓
920640,富士达,39.78,2.24,7.04,1.361905843335033,74.6781984,38.146,37.839999999999996,37.4225,34.34683333333333,0.5313351498637607,80,涨幅2.24%✓; 高开后走强✓
002978,安宁股份,36.73,1.55,6.81,3.0354850905308073,173.36191157,34.297999999999995,33.338,32.17,32.02816666666667,0.46258503401360335,70,涨幅1.55%✓
