代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
002707,众信旅游,7.5,2.74,8.36,2.728364995471197,73.70362748,7.276000000000001,7.2219999999999995,7.148000000000001,7.075333333333334,0.12499999999999972,90,涨幅2.74%✓; 高开后走强✓
603861,白云电器,13.27,2.0,7.28,2.245482581196044,71.72805963,13.078,12.777999999999999,12.3415,12.3165,0.6237623762376229,90,涨幅2.00%✓; 高开后走强✓
002698,博实股份,17.99,3.99,7.57,2.5575481240066145,183.95881547,16.984,16.812,16.661,16.124,0.512437810945273,90,涨幅3.99%✓; 高开后走强✓
603158,腾龙股份,11.04,3.18,9.97,2.841567399202022,54.18102434,10.656,10.64,10.4645,10.340666666666667,0.6867469879518053,90,涨幅3.18%✓; 高开后走强✓
301608,博实结,98.37,4.19,9.58,1.9709360263825677,87.539463,93.728,91.483,88.386,87.23833333333333,0.6065830721003146,90,涨幅4.19%✓; 高开后走强✓
300005,探路者,12.94,1.49,6.25,1.7380607141667437,114.35106287,11.99,11.481,11.016,10.349833333333333,0.6575342465753419,90,涨幅1.49%✓; 高开后走强✓
001337,四川黄金,30.71,2.4,7.69,1.5088885352787331,128.982,29.562,29.060000000000002,28.945000000000004,27.940999999999995,0.6733333333333343,90,涨幅2.40%✓; 高开后走强✓
601619,嘉泽新能,5.0,3.52,6.72,1.857214904654705,145.6373373,4.843999999999999,4.737,4.6385,4.4605,0.5135135135135144,90,涨幅3.52%✓; 高开后走强✓
301127,武汉天源,17.61,2.15,5.46,1.101941036639684,118.70290549,17.5,16.506999999999998,15.88,14.746666666666666,0.5748031496062997,80,涨幅2.15%✓; 高开后走强✓
002090,金智科技,12.92,1.33,9.42,1.4112410984852781,51.75455757,12.622,12.278,12.0395,11.798833333333334,0.31944444444444475,80,涨幅1.33%✓; 高开后走强✓
