代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
002707,众信旅游,7.51,2.88,8.65,2.817768385874557,73.80189898,7.279999999999999,7.223999999999999,7.148999999999999,7.075666666666667,0.14999999999999922,90,涨幅2.88%✓; 高开后走强✓
300005,探路者,12.93,1.41,6.39,1.7743265521872953,114.26269265,11.99,11.481,11.016,10.349833333333333,0.6438356164383559,90,涨幅1.41%✓; 高开后走强✓
002698,博实股份,18.02,4.16,7.73,2.6087265400484854,184.26558392,16.988,16.814,16.662,16.124333333333333,0.5273631840796019,90,涨幅4.16%✓; 高开后走强✓
301608,博实结,98.15,3.96,9.84,2.0182458879973697,87.343685,93.682,91.46000000000001,88.3745,87.2345,0.5721003134796251,90,涨幅3.96%✓; 高开后走强✓
603861,白云电器,13.3,2.23,7.49,2.3025196104776895,71.89021802,13.084,12.780999999999999,12.343,12.317,0.6534653465346537,90,涨幅2.23%✓; 高开后走强✓
601619,嘉泽新能,5.01,3.73,6.93,1.9073984821668044,145.92861197,4.846,4.7379999999999995,4.639,4.460666666666667,0.5405405405405409,90,涨幅3.73%✓; 高开后走强✓
001337,四川黄金,30.72,2.43,7.82,1.534076458675893,129.024,29.564,29.061,28.945500000000003,27.941166666666664,0.6799999999999997,90,涨幅2.43%✓; 高开后走强✓
301127,武汉天源,17.5,1.51,5.65,1.1364662409465898,117.96143363,17.474,16.494,15.873500000000002,14.744499999999999,0.4881889763779537,80,涨幅1.51%✓; 高开后走强✓
002090,金智科技,12.95,1.57,9.69,1.4507437550502704,51.87473069,12.628,12.281,12.041,11.799333333333333,0.3611111111111105,80,涨幅1.57%✓; 高开后走强✓
