代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
002698,博实股份,17.97,3.87,7.5,2.532715494404932,183.75430317,16.984,16.812,16.661,16.124,0.5024875621890542,90,涨幅3.87%✓; 高开后走强✓
603861,白云电器,13.29,2.15,7.15,2.207436567680723,71.83616522,13.084,12.780999999999999,12.343,12.317,0.6435643564356422,90,涨幅2.15%✓; 高开后走强✓
002707,众信旅游,7.49,2.6,8.24,2.691960841449249,73.60535597,7.276000000000001,7.2219999999999995,7.148000000000001,7.075333333333334,0.10000000000000023,90,涨幅2.60%✓; 高开后走强✓
603158,腾龙股份,10.99,2.71,9.67,2.746115182884351,53.93563927,10.642,10.633,10.461,10.3395,0.626506024096385,90,涨幅2.71%✓; 高开后走强✓
601619,嘉泽新能,5.0,3.52,6.63,1.8301940211733823,145.6373373,4.8420000000000005,4.736,4.638,4.460333333333334,0.5135135135135144,90,涨幅3.52%✓; 高开后走强✓
301608,博实结,98.63,4.47,9.46,1.9446356472872597,87.770837,93.792,91.515,88.40200000000002,87.24366666666667,0.6473354231974919,90,涨幅4.47%✓; 高开后走强✓
001337,四川黄金,30.68,2.3,7.59,1.4898887896060373,128.856,29.558000000000003,29.058000000000003,28.944000000000006,27.940666666666665,0.6533333333333337,80,涨幅2.30%✓; 高开后走强✓
301127,武汉天源,17.52,1.62,5.35,1.082245633060924,118.09624669,17.486,16.5,15.876499999999998,14.745499999999998,0.5039370078740164,80,涨幅1.62%✓; 高开后走强✓
