代码,名称,选股日期,综合评分,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,MACD,RSI,KDJ_J,量比,5日涨幅,20日涨幅,昨日涨跌,均线分,MACD分,RSI分,KDJ分,布林分,量能分,趋势分
600960,渤海汽车,2026-01-08,89.0909090909091,5.76,3.04,5.0,54.74969384,5.630000000000001,2.309058614564813,0.12367877629868307,63.36206896551724,64.61016526578051,1.1630510059000732,6.890000000000001,15.170000000000002,-2.44,28,16,15,15,5,10,9
300072,海新能科,2026-01-08,88.18181818181819,4.95,2.48,4.34,116.31115495,4.796,3.2110091743119247,0.06134523514815804,62.31884057971011,73.69833531063611,1.2238885013040182,7.52,11.28,-1.83,25,20,15,15,2,10,10
000788,北大医药,2026-01-08,85.45454545454545,6.55,2.18,5.01,39.03717634,6.386,2.5681177575947336,-0.07128846566390301,56.15384615384615,95.20607880795205,1.017168800978932,7.24,-8.469999999999999,-0.93,26,14,15,13,10,10,6
300688,创业黑马,2026-01-08,85.45454545454545,30.61,2.03,10.31,51.23485393,29.944,2.2241517499332097,0.20156882077184335,63.69863013698629,95.08274445120634,1.193981729413583,6.470000000000001,8.979999999999999,-0.63,28,20,15,9,2,10,10
603088,宁波精达,2026-01-08,84.54545454545455,10.97,2.81,5.61,55.11195987,10.553999999999998,3.941633503884804,0.03566317405205588,64.37768240343348,65.25570230842072,1.591255765489874,5.029999999999999,8.96,2.4,23,20,15,15,2,10,8
300233,金城医药,2026-01-08,82.72727272727273,14.79,2.71,3.25,56.77505142,14.406,2.6655560183256877,-0.4639030919214271,58.54922279792744,103.75649461338212,1.5242908091895502,5.44,-6.069999999999999,-0.55,26,14,15,10,10,10,6
603977,国泰集团,2026-01-08,80.0,14.95,3.96,5.74,92.87565329,14.276,4.721210423087696,0.45918613083514614,68.50828729281767,61.45079032795816,1.2516320678799921,5.17,23.719999999999995,0.49,22,16,10,15,10,7,8
