代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
300542,新晨科技,21.42,5.0,9.12,1.5063492317456255,63.95153037,20.332,20.244,19.877499999999998,18.959833333333332,0.9100000000000001,120,涨幅4.80%✓; 价格位置高91.0%✓; 高开后走强✓
300559,佳发教育,14.17,3.89,5.69,1.5749085700917749,56.61121414,13.416,13.008000000000001,12.349,12.316833333333333,0.960784313725491,120,涨幅4.40%✓; 价格位置高96.1%✓; 高开后走强✓
300913,兆龙互连,57.06,2.26,5.02,1.6529062165695947,195.59090707,54.95,54.149,54.1185,52.3915,0.7610294117647063,120,涨幅1.83%✓; 价格位置高76.1%✓; 高开后走强✓
300303,聚飞光电,7.19,2.42,5.48,1.7887394780635297,101.78203739,7.039999999999999,6.956,6.9159999999999995,6.759166666666667,0.8888888888888867,120,涨幅2.28%✓; 价格位置高88.9%✓; 高开后走强✓
300733,西菱动力,20.48,2.97,9.76,2.1262006727943112,62.60250214,19.326,19.05,18.5335,18.2045,0.8062015503875968,120,涨幅3.17%✓; 价格位置高80.6%✓; 高开后走强✓
002174,游族网络,13.64,3.73,5.85,1.8463677179771034,134.12964478,12.952000000000002,12.688,12.2295,12.204833333333333,0.8823529411764696,120,涨幅3.42%✓; 价格位置高88.2%✓; 高开后走强✓
000821,京山轻机,14.24,1.86,9.51,1.7386508090405706,88.69736839,13.956,13.733,13.305000000000001,13.009166666666667,0.7272727272727293,120,涨幅2.29%✓; 价格位置高72.7%✓; 高开后走强✓
000829,天音控股,11.85,4.59,5.84,1.7170461773094754,121.4744019,11.158,10.936000000000002,10.9015,10.5445,0.7500000000000007,120,涨幅4.32%✓; 价格位置高75.0%✓; 高开后走强✓
300909,汇创达,53.17,3.99,7.02,1.4021909283274483,91.96973293,49.054,48.513,46.083999999999996,42.16716666666667,0.9527027027027025,110,涨幅4.58%✓; 价格位置高95.3%✓; 高开后走强✓
300739,明阳电路,19.59,4.2,7.02,1.271367281155913,73.15986526,18.833999999999996,18.677,18.1585,17.103833333333334,0.8488372093023266,110,涨幅4.10%✓; 价格位置高84.9%✓; 高开后走强✓
603712,七一二,23.72,3.67,5.75,1.2162929948688679,183.1184,22.672,21.481,20.613,20.511,0.8839285714285724,110,涨幅4.11%✓; 价格位置高88.4%✓; 高开后走强✓
603267,鸿远电子,60.58,4.94,6.68,1.3354658309069063,139.98880437,56.428,54.89,52.065,50.2125,0.782918149466192,110,涨幅4.45%✓; 价格位置高78.3%✓; 高开后走强✓
300360,炬华科技,18.43,3.54,5.74,1.3258004865663642,94.76468732,17.89,17.740000000000002,17.2905,16.5075,0.8777777777777787,110,涨幅3.60%✓; 价格位置高87.8%✓; 高开后走强✓
301175,中科环保,6.48,4.35,8.9,1.4931818951128886,95.377824,6.164,6.08,5.9,5.579833333333332,0.8461538461538459,110,涨幅4.03%✓; 价格位置高84.6%✓; 高开后走强✓
002607,中公教育,3.0,4.53,9.09,1.4733203691309442,185.02198167,2.826,2.7649999999999997,2.734,2.684166666666667,0.7692307692307705,110,涨幅3.83%✓; 价格位置高76.9%✓; 高开后走强✓
002006,精工科技,23.87,2.27,7.87,1.337192893650571,124.07469413,23.568,23.373,22.292499999999997,21.640833333333333,0.7596153846153845,110,涨幅2.10%✓; 价格位置高76.0%✓; 高开后走强✓
000823,超声电子,14.54,1.89,5.54,1.2914334813726287,78.08001854,14.184000000000001,13.972999999999999,13.756,13.300666666666666,0.8275862068965498,110,涨幅1.68%✓; 价格位置高82.8%✓; 高开后走强✓
002438,江苏神通,16.88,3.56,5.8,1.2100483672355353,85.67232342,16.292,16.073,15.7875,14.645833333333334,0.8490566037735874,110,涨幅3.74%✓; 价格位置高84.9%✓; 高开后走强✓
000850,华茂股份,6.08,2.18,5.48,1.8041630332850636,57.37483255,5.748,5.630999999999999,5.298,4.879833333333334,0.40000000000000024,90,涨幅1.34%✓; 高开后走强✓
301086,鸿富瀚,119.65,1.92,9.06,2.041803869343525,107.685,119.048,116.179,110.18050000000001,94.96833333333332,0.6736292428198432,90,涨幅2.43%✓; 高开后走强✓
300740,水羊股份,26.24,2.3,7.03,1.411859034522705,102.33857414,24.78,23.625999999999998,22.7045,21.562,0.3050000000000015,80,涨幅2.38%✓; 高开后走强✓
