代码,名称,选股日期,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,最低偏离MA5,MA5斜率,5日涨幅,20日涨幅,昨日涨跌,次日日期,次日涨跌,次日开盘,次日收盘
603186,华正新材,2026-01-05,52.2,5.8,8.14,74.13696544,49.66,2.7386226339106057,0.4228755537656078,2.1642527978933352,11.26,19.38,-0.76,2026-01-06,-3.29,50.7,49.34
300980,祥源新材,2026-01-05,34.37,4.72,9.08,47.45300855,32.044,2.9833978279865283,1.1421795031831221,2.7380570695735558,14.620000000000001,24.68,-2.77,2026-01-06,-0.55,32.81,32.82
